Id,SalePrice
1461,122196.524905
1462,148975.030954
1463,183710.047027
1464,185570.973895
1465,192671.179392
1466,172488.238194
1467,172760.601992
1468,164560.780822
1469,189446.862089
1470,122578.966042
1471,199368.259058
1472,91944.0864105
1473,97779.2347092
1474,157510.777004
1475,134890.128284
1476,393575.40803
1477,269174.388739
1478,293139.115887
1479,278799.336427
1480,455991.694382
1481,324067.37963
1482,203834.836084
1483,165437.142243
1484,166938.843687
1485,176262.385639
1486,193577.052323
1487,346331.776256
1488,243268.602119
1489,202355.93372
1490,211646.947616
1491,188925.74068
1492,93140.8959471
1493,186797.562972
1494,320472.914944
1495,308211.778999
1496,232873.483808
1497,179348.30723
1498,161722.803376
1499,162887.997968
1500,142038.6608
1501,174446.008752
1502,154327.96183
1503,281555.61338
1504,228635.453126
1505,230281.964403
1506,174438.485394
1507,239615.438175
1508,189561.091906
1509,159372.304556
1510,142412.168258
1511,142412.168258
1512,168610.616235
1513,139498.871606
1514,169849.549801
1515,200517.109879
1516,171991.995434
1517,156375.980279
1518,138428.796507
1519,219306.682036
1520,134165.306584
1521,133322.788606
1522,170169.824968
1523,114832.54851
1524,128289.769212
1525,126760.990964
1526,124996.27558
1527,102535.287648
1528,132318.602645
1529,146092.448389
1530,181760.082439
1531,101605.025286
1532,100894.195721
1533,135499.140384
1534,122397.210399
1535,159540.612393
1536,112495.411455
1537,68285.109103
1538,178627.55791
1539,213805.947926
1540,93148.6201297
1541,144457.749106
1542,138878.160955
1543,217123.294343
1544,76147.2156972
1545,107056.361502
1546,123504.058943
1547,134193.38141
1548,129085.626172
1549,109927.482318
1550,142112.423758
1551,111317.049567
1552,126078.943919
1553,157028.368762
1554,110441.129115
1555,165982.653289
1556,79215.4273577
1557,106116.998238
1558,90070.5791026
1559,77320.1962254
1560,137638.414441
1561,126400.74708
1562,131643.183616
1563,122228.900719
1564,151379.520538
1565,148770.850135
1566,234217.650926
1567,75691.0411574
1568,220456.504374
1569,137667.711443
1570,130204.883821
1571,132083.31516
1572,148892.359825
1573,257404.004601
1574,119022.674177
1575,217690.009442
1576,215288.564336
1577,191332.348144
1578,149338.041685
1579,143238.474545
1580,184470.789278
1581,140363.415912
1582,129968.820475
1583,334576.991694
1584,224248.573998
1585,142822.193034
1586,70366.1183056
1587,97438.031974
1588,148023.807317
1589,94988.9741618
1590,136248.838026
1591,103912.317617
1592,105395.552574
1593,131644.499695
1594,119965.22349
1595,113807.864626
1596,247613.888926
1597,183830.627514
1598,212927.440957
1599,183864.474552
1600,183817.372683
1601,67725.6058593
1602,109254.813941
1603,78640.8796739
1604,266106.233654
1605,253675.047231
1606,166041.845762
1607,165841.24765
1608,208707.509893
1609,193689.792263
1610,145427.676584
1611,148045.600724
1612,160516.183039
1613,155764.047403
1614,120423.830493
1615,84052.4905412
1616,77971.1096979
1617,90624.5778381
1618,127654.839828
1619,131562.703069
1620,151229.816302
1621,134247.726011
1622,133737.493076
1623,291752.707533
1624,209467.506312
1625,127765.065741
1626,172569.198384
1627,186257.472682
1628,279248.16248
1629,180565.583294
1630,354866.246367
1631,210825.871717
1632,249007.590688
1633,169947.04853
1634,187278.426665
1635,183866.78404
1636,161728.76398
1637,183071.036883
1638,202758.143762
1639,178612.037176
1640,256798.669783
